,Species,Taxa
1,Abietinella_abietina,Moss
2,Alleniella_complanata,Moss
3,Amblyodon_dealbatus,Moss
4,Amblystegium_serpens,Moss
5,Aneura_pinguis,Liverwort
6,Anomodon_attenuatus,Moss
7,Anomodon_viticulosus,Moss
8,Anthelia_juratzkana,Liverwort
9,Aongstroemia_longipes,Moss
10,Apopellia_endivifolia,Liverwort
11,Asterella_lindenbergiana,Liverwort
12,Atrichum_undulatum,Moss
13,Aulacomnium_palustre,Moss
14,Barbilophozia_attenuata,Moss
15,Barbilophozia_barbata,Liverwort
16,Barbilophozia_floerkei,Liverwort
17,Barbilophozia_hatcheri,Liverwort
18,Barbilophozia_lycopodioides,Liverwort
19,Barbilophozia_sudetica,Liverwort
20,Barbula_unguiculata,Moss
21,Bartramia_ithiphylla,Moss
22,Blepharostoma_trichophyllum,Liverwort
23,Blindiadelphus_recurvatus,Moss
24,Brachytheciastrum_collinum,Moss
25,Brachytheciastrum_velutinum,Moss
26,Brachythecium_albicans,Moss
27,Brachythecium_campestre,Moss
28,Brachythecium_cirrhosum,Moss
29,Brachythecium_erythrorrhizon,Moss
30,Brachythecium_glareosum,Moss
31,Brachythecium_laetum,Moss
32,Brachythecium_mildeanum,Moss
33,Brachythecium_rivulare,Moss
34,Brachythecium_rutabulum,Moss
35,Brachythecium_salebrosum,Moss
36,Brachythecium_sp,Moss
37,Brachythecium_tauriscorum,Moss
38,Bryoerythrophyllum_alpigenum,Moss
39,Bryoerythrophyllum_ferruginascens,Moss
40,Bryoerythrophyllum_recurvirostrum,Moss
41,Bryum_argenteum,Moss
42,Bryum_blindii,Moss
43,Bryum_dichotomum,Moss
44,Bryum_gemmiferum,Moss
45,Bryum_radiculosum,Moss
46,Bryum_rubens,Moss
47,Bryum_ruderale,Moss
48,Bryum_sp,Moss
49,Buckia_vaucheri,Moss
50,Calliergonella_bambergeri,Moss
51,Calliergonella_cuspidata,Moss
52,Calliergonella_lindenbergii,Moss
53,Calypogeia_azurea,Liverwort
54,Calypogeia_neesiana,Liverwort
55,Campyliadelphus_chysophyllus,Moss
56,Campylium_stellatum,Moss
57,Campylophyllopsis_calcarea,Moss
58,Campylophyllum_halleri,Moss
59,Catoscopium_nigritum,Moss
60,Cephalozia_bicuspidata,Liverwort
61,Cephaloziella_sp,Liverwort
62,Ceratodon_purpureus,Moss
63,Chiloscyphus_pallescens,Liverwort
64,Chionoloma_tenuirostre,Moss
65,Cirriphyllum_piliferum,Moss
66,Clevea_hyalina,Liverwort
67,Climacium_dendroides,Moss
68,Conocephalum_conicum,Liverwort
69,Cratoneuron_curvicaule,Moss
70,Cratoneuron_filicinum,Moss
71,Ctenidium_molluscum,Moss
72,Cyrtomnium_hymenophylloides,Moss
73,Dichodontium_pellucidum,Moss
74,Dicranella_grevilleana,Moss
75,Dicranella_schreberiana,Moss
76,Dicranella_subulata,Moss
77,Dicranella_varia,Moss
78,Dicranum_acutifolium,Moss
79,Dicranum_bonjeanii,Moss
80,Dicranum_dispersum,Moss
81,Dicranum_scoparium,Moss
82,Dicranum_septentrionale_brevifolium,Moss
83,Dicranum_spadiceum,Moss
84,Didymodon_asperifolius,Moss
85,Didymodon_fallax,Moss
86,Didymodon_ferrugineus,Moss
87,Didymodon_luridus,Moss
88,Didymodon_rigidulus,Moss
89,Distichium_capillaceum,Moss
90,Distichium_inclinatum,Moss
91,Drepanium_fastigiatum,Moss
92,Drepanocladus_aduncus,Moss
93,Encalypta_alpina,Moss
94,Encalypta_ciliata,Moss
95,Encalypta_rhaptocarpa,Moss
96,Encalypta_sp_sterile,Moss
97,Encalypta_streptocarpa,Moss
98,Encalypta_vulgaris,Moss
99,Entodon_concinnus,Moss
100,Ephemerum_recurvifolium,Moss
101,Ephemerum_serratum,Moss
102,Eucladium_verticillatum,Moss
103,Eurhynchiastrum_diversifolium,Moss
104,Eurhynchiastrum_pulchellum,Moss
105,Eurhynchium_striatum,Moss
106,Fissidens_bryoides,Moss
107,Fissidens_dubius,Moss
108,Fissidens_exilis,Moss
109,Fissidens_gracilifolius,Moss
110,Fissidens_osmundoides,Moss
111,Fissidens_taxifolius,Moss
112,Fissidens_viridulus,Moss
113,Flexitrichum_flexicaule,Moss
114,Fossombronia_sp,Liverwort
115,Fuscocephaloziopsis_lunulifolia,Liverwort
116,Fuscocephaloziopsis_pleniceps,Liverwort
117,Grimmia_alpestris,Moss
118,Grimmia_cf_dissimulata,Moss
119,Grimmia_hartmanii,Moss
120,Grimmia_ovalis,Moss
121,Grimmia_pulvinata,Moss
122,Grimmia_ramondii,Moss
123,Grimmia_trichophylla,Moss
124,Gymnobarbula_bicolor,Moss
125,Gymnostomum_aeruginosum,Moss
126,Gymnostomum_calcareum,Moss
127,Heterocladium_dimorphum,Moss
128,Homallium_incurvatum,Moss
129,Homalothecium_lutescens,Moss
130,Homalothecium_sericeum,Moss
131,Hydrogonium_amplexifolium,Moss
132,Hydrogonium_croceum,Moss
133,Hygrohypnum_luridum,Moss
