Liver_Tips,Liver_Tips_NEWNAME,Found_Liver tips,Miss_Liver_Tips,,Moss_Tips,MOSS_Tips_NEWNAME,Found_Moss_Tips,Miss_Moss_Tips
Aneura_pinguis,,Aneura_pinguis,Anthelia_juratzkana,,Amblystegium_serpens,,Amblystegium_serpens,Abietinella_abietina
Anthoceros_agrestis,,,Apopellia_endivifolia,,Anomodon_attenuatus,,Anomodon_attenuatus,Alleniella_complanata
Asterella_lindenbergiana,,Asterella_lindenbergiana,Barbilophozia_lycopodioides,,Aongstroemia_longipes,,Aongstroemia_longipes,Amblyodon_dealbatus
Barbilophizoa_lycopodioides,,,Barbilophozia_sudetica,,Aulacomnium_palustre,,,Anomodon_viticulosus
Barbilophozia_barbata,,,Calypogeia_azurea,,Barbula_unguiculata,,Barbula_unguiculata,Atrichum_undulatum
Barbilophozia_floerkei,,Barbilophozia_floerkei,Cephalozia_bicuspidata,,Bartramia,,,Aulacomium_palustre
Barbilophozia_hatcheri,,Barbilophozia_hatcheri,Cephaloziella_sp,,Brachytheciastrum_collinum,,Brachytheciastrum_collinum,Barbilophozia_attenuata
Blepharostoma_trichophyllum,,Blepharostoma_trichophyllum,Chiloscyphus_pallescens,,Brachythecium_albicans,,Brachythecium_albicans,Bartramia_ithiphylla
Calypogeia_fissa,,,Clevea_hyalina,,Brachythecium_cirrosum,,,Blindiadelphus_recurvatus
Calypogeia_neesiana,,Calypogeia_neesiana,Fossombronia_sp,,Brachythecium_glareosum,,Brachythecium_glareosum,Brachytheciastrum_velutinum
Conocephalum_conicum,,Conocephalum_conicum,Fuscocephaloziopsis_lunulifolia,,Brachythecium_rivulare,,Brachythecium_rivulare,Brachythecium_campestre
Jungermannia,,,Fuscocephaloziopsis_pleniceps,,Brachythecium_rutabulum,,Brachythecium_rutabulum,Brachythecium_cirrhosum
Jungermannia_gracillima,,,Isopaches_bicrenatus,,Bryoerythrophyllum_recurvirostrum,,Bryoerythrophyllum_recurvirostrum,Brachythecium_erythrorrhizon
Leiocolea_bantriensis,,,Jungermannia_atrovirens,,Bryum_argenteum,,Bryum_argenteum,Brachythecium_laetum
Leiocolea_heterocolpos,,,Jungermannia_borealis,,Bryum_dichotomum,,Bryum_dichotomum,Brachythecium_mildeanum
Leiosporoceros_dussii,,,Jungermannia_cf_obovata,,Bryum_elegans,,,Brachythecium_salebrosum
Lophocolea_bidentata,,Lophocolea_bidentata,Jungermannia_cf_polaris,,Bryum_rubens,,Bryum_rubens,Brachythecium_sp
Lophocolea_minor,,Lophocolea_minor,Jungermannia_sp,,Calliergon_cordifolium,,,Brachythecium_tauriscorum
Lophozia_bicrenata,,,Lejeunea_cavifolia,,Calliergonella_cuspidata,,Calliergonella_cuspidata,Bryoerythrophyllum_alpigenum
Lophozia_sudetica,,,Lophocolea_heterophylla,,Calliergonella_lindenbergii,,Calliergonella_lindenbergii,Bryoerythrophyllum_ferruginascens
Lophozia_ventricosa,,Lophozia_ventricosa,Lophozia_wenzelii,,Campylium_chrysophyllum,,,Bryum_blindii
Mannia_cf_controversa,,,Mannia_cf_androgyna,,Campylium_protensum,,,Bryum_gemmiferum
Marchantia_alpestris,,,Marchantia_quadrata,,Campylium_stellatum,,Campylium_stellatum,Bryum_radiculosum
Marchantia_polymorpha,,Marchantia_polymorpha,Marsupella,,Campylophyllum_calcareum,,,Bryum_ruderale
Metzgeria_pubescens,,Metzgeria_pubescens,Mesoptychia_badensis,,Campylophyllum_halleri,,Campylophyllum_halleri,Bryum_sp
Pellia_cf_epiphylla,,,Mesoptychia_bantriensis,,Ceratodon_purpureus,,Ceratodon_purpureus,Buckia_vaucheri
Pellia_neesiana,,,Mesoptychia_heterocolpos,,Cirriphyllum_piliferum,,Cirriphyllum_piliferum,Calliergonella_bambergeri
Peltopsis_quadrata,,,Mesoptychia_sp,,Climacium_dendroides,,Climacium_dendroides,Campyliadelphus_chysophyllus
Plagiochila_asplenioides,,,Metzgeria_furcata,,Cratoneuron_curvicaule,,Cratoneuron_curvicaule,Campylophyllopsis_calcarea
Porella_platyphylla,,Porella_platyphylla,Pellia_epiphylla,,Cratoneuron_filicinum,,Cratoneuron_filicinum,Catoscopium_nigritum
Preissia_quadrata,,,Pellia_sp,,Ctenidium_molluscum,,Ctenidium_molluscum,Chionoloma_tenuirostre
Ptilidium_ciliare,,Ptilidium_ciliare,Porella_cordaeana,,Cyrtomium_hymenophylloides,,,Cyrtomnium_hymenophylloides
Radula_complanata,,Radula_complanata,Reboulia_hemisphaerica,,Dichodontium_pellucidum,,Dichodontium_pellucidum,Dicranella_schreberiana
Reboulia_hemispherica,,,Riccardia_multifida,,Dicranella_grevilleana,,,Dicranella_subulata
Scapania_aspera,,Scapania_aspera,Saccobasis_polita,,Dicranoweisia_crispula,,,Dicranella_varia
Scapania_calcicola,,Scapania_calcicola,Scapania_aequiloba,,Dicranum_spadiceum,,Dicranum_spadiceum,Dicranum_acutifolium
Scapania_cf_helvetica,,,Scapania_cf_subalpina,,Didymodon_asperifolius,,Didymodon_asperifolius,Dicranum_bonjeanii
Scapania_cuspiduligera,,Scapania_cuspiduligera,Scapania_gr_scandica,,Didymodon_fallax,,Didymodon_fallax,Dicranum_dispersum
Scapania_irrigua,,Scapania_irrigua,Scapania_gymnostophila,,Didymodon_ferrugineus,,Didymodon_ferrugineus,Dicranum_scoparium
Scapania_subalpina,,,Scapania_paludicola,,Didymodon_rigidulus,,Didymodon_rigidulus,Dicranum_septentrionale_brevifolium
Tritomaria_exsecta,,Tritomaria_exsecta,Scapania_sp,,Distichium_capillaceum,,Distichium_capillaceum,Didymodon_luridus
Tritomaria_exsectiformis,,,Schljakovianthus_quadrilobus,,Ditrichum_flexicaule,,,Distichium_inclinatum
,,,Solenostoma_confertissimum,,Drepanium_fastigiatum,,Drepanium_fastigiatum,Drepanocladus_aduncus
,,,Solenostoma_gracillimum,,Drepanocladus_longifolius,,,Encalypta_ciliata
,,,Solenostoma_hyalinum,,Encalypta_alpina,,Encalypta_alpina,Encalypta_sp_sterile
